0
Weight,Volume,DeliveryDate,Destination
0.1,0.1,29/12/2023T09:25,Cabreiros
1.5,0.8,30/12/2023T13:45,Sequeira
0.7,0.3,31/12/2023T14:30,Ferreiros
0.5,0.5,29/12/2023T15:15,Maximinos
1.2,0.7,30/12/2023T16:40,SãoVitor
0.9,0.4,31/12/2023T16:05,Dume
0.02,0.6,29/12/2023T11:50,Real
1.8,0.9,30/12/2023T12:55,SãoVicente
0.4,0.2,31/12/2023T13:00,Lamaçães
0.3,0.9,29/12/2023T14:25,Real
1.4,0.7,30/12/2023T15:30,Adaúfe
0.6,0.8,31/12/2023T10:35,EsteSãoPedro
0.2,0.5,29/12/2023T11:40,Fraião
1.9,0.4,30/12/2023T17:00,Celeirós
0.4,0.3,31/12/2023T17:15,Palmeira
1.5,0.6,29/12/2023T16:50,Semelhe
0.01,0.1,30/12/2023T12:10,Lomar
0.8,0.7,31/12/2023T15:55,EsteSãoMamede
0.3,0.2,29/12/2023T16:20,Nogueiró
1.7,0.8,30/12/2023T14:15,Tenões
